instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vssrl.vi v8,v16,13,v0.t","0,975","1,975",4,"7,975",1,2,4,8,"1,025","2,025","4,025",8
"vssra.vv v8,v16,v24",1,2,4,8,"0,975","1,975",4,8,"1,025","2,025",4,8
"vssra.vv v8,v16,v24,v0.t",1,2,4,8,"1,025","2,025",4,"7,975","0,975","1,975",4,8
"vssra.vx v8,v16,t0","2,325",3,5,9,"2,375","3,025","5,025","8,975","2,325","2,975","4,975","9,025"
"vssra.vx v8,v16,t0,v0.t","2,35",3,5,9,"2,325",3,5,9,"2,375","3,025","5,025","8,975"
"vssra.vi v8,v16,13",1,2,4,8,"0,975","1,975",4,8,"1,025","2,025",4,8
"vssra.vi v8,v16,13,v0.t",1,2,4,8,"1,025","2,025",4,"7,975","0,975","1,975",4,8
"vdivu.vv v8,v16,v24","6,975","13,975",28,55,7,14,"27,975",56,7,14,28,"55,975"
"vdivu.vv v8,v16,v24,v0.t","7,025","14,025",28,"55,025",7,14,28,56,"6,975","13,975","27,975",56
"vdivu.vx v8,v16,t0","7,025","14,025","28,025",55,7,14,28,56,"6,95",14,"28,025",56
"vdivu.vx v8,v16,t0,v0.t","6,975","13,975",28,55,"7,05",14,28,56,7,14,"27,975",56
"vdiv.vv v8,v16,v24","6,975","13,975",28,55,7,14,"27,975",56,7,14,28,"55,975"
"vdiv.vv v8,v16,v24,v0.t","7,025","14,025",28,"55,025",7,14,28,56,"6,975","13,975","27,975",56
"vdiv.vx v8,v16,t0","7,025","14,025","28,025",55,7,14,28,56,"6,95",14,"28,025",56
"vdiv.vx v8,v16,t0,v0.t","6,975","13,975",28,55,"7,05",14,28,56,7,14,"27,975",56
"vremu.vv v8,v16,v24","5,975","13,975",24,55,6,14,"23,975",56,6,16,24,"63,975"
"vremu.vv v8,v16,v24,v0.t","7,025","14,025",28,"55,025",7,14,28,56,"6,975","13,975","27,975",56
"vremu.vx v8,v16,t0","6,025","12,025","24,025",48,6,12,24,48,"6,05","12,025","24,025",48
"vremu.vx v8,v16,t0,v0.t","6,975","13,975",28,55,"7,05",14,28,56,7,14,"27,975",56
"vrem.vv v8,v16,v24","5,975","13,975",24,55,6,14,"23,975",56,6,16,24,"63,975"
"vrem.vv v8,v16,v24,v0.t","7,025","14,025",28,"55,025",7,14,28,56,"6,975","13,975","27,975",56
"vrem.vx v8,v16,t0","6,025","12,025","24,025",48,6,12,24,48,"6,05","12,025","24,025",48
"vrem.vx v8,v16,t0,v0.t","6,975","13,975",28,55,"7,05",14,28,56,7,14,"27,975",56
"vmulhu.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vmulhu.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vmulhu.vx v8,v16,t0","2,375","2,375","4,025",8,"2,35","2,35",4,8,"2,35","2,35",4,8
"vmulhu.vx v8,v16,t0,v0.t","2,325","2,325","3,975",8,"2,325","2,325",4,8,"2,325","2,325",4,8
"vmul.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vmul.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vmul.vx v8,v16,t0","2,375","2,375","4,025",8,"2,35","2,35",4,8,"2,35","2,35",4,8
"vmul.vx v8,v16,t0,v0.t","2,325","2,325","3,975",8,"2,325","2,325",4,8,"2,325","2,325",4,8
"vmulhsu.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vmulhsu.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vmulhsu.vx v8,v16,t0","2,375","2,375","4,025",8,"2,35","2,35",4,8,"2,35","2,35",4,8
"vmulhsu.vx v8,v16,t0,v0.t","2,325","2,325","3,975",8,"2,325","2,325",4,8,"2,325","2,325",4,8
"vmulh.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vmulh.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
